point_index,x,y,z,gap_effect,gap_effect_normalized,gap_baseline,homo_effect,homo_effect_normalized,homo_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline
0,8.946402,20.761254,28.253639,-0.08727909897683,-0.9005700924427882,0.7277855840285482,-0.17302109684103,0.9837731727430716,1.7785305759749417,-0.26030019581786,0.10770645952455338,2.50631616000349
1,8.190482,18.140534,16.498239,0.02912092439116,-0.499809915744702,0.7277855840285482,-0.29931852597707,0.47669092475170016,1.7785305759749417,-0.27019760158592,-0.001797655012422239,2.50631616000349
2,7.543022,18.975493,16.402369,0.02967971801543,-0.49788601379760167,0.7277855840285482,-0.29335499707655,0.5006344021567701,1.7785305759749417,-0.26367527906112,0.0703648054888606,2.50631616000349
3,9.593165,17.995108,16.29901,0.05929133729811,-0.3959345069793757,0.7277855840285482,-0.33131638767789,0.34821999899206624,1.7785305759749417,-0.27202505037978,-0.02201640391722004,2.50631616000349
4,7.569885,19.960274,16.158951,0.0241396456541,-0.5169602400237225,0.7277855840285482,-0.29331566584948,0.5007923164324235,1.7785305759749417,-0.26917602019538,0.009505040685832578,2.50631616000349
5,8.216895,20.698407,15.841757,0.02179295187503,-0.5250398038102622,0.7277855840285482,-0.29399332973661,0.4980715062811867,1.7785305759749417,-0.27220037786158,-0.023956213307522067,2.50631616000349
6,8.901519,17.545456,15.72838,0.09484565388862,-0.27352255389800806,0.7277855840285482,-0.34564572384634,0.29068793324672915,1.7785305759749417,-0.25080006995772,0.21281510058498476,2.50631616000349
7,10.176607,20.226839,15.686063,0.06545800021228,-0.3747029569537601,0.7277855840285482,-0.33051134165721,0.3514522464629406,1.7785305759749417,-0.26505334144493,0.055118032278570483,2.50631616000349
8,7.168976,19.262099,15.506494,0.07941583505078,-0.3266467436099212,0.7277855840285482,-0.31839830017974,0.40008592289187317,1.7785305759749417,-0.23898246512896,0.3435641456425673,2.50631616000349
9,9.11497,20.883841,15.336569,0.04782687411475,-0.435406151040708,0.7277855840285482,-0.30409111150486,0.4575290667889693,1.7785305759749417,-0.25626423739011,0.15235998432648112,2.50631616000349
10,8.930678,17.627964,14.717068,0.19835738249216,0.08286378903538139,0.7277855840285482,-0.43264368776378,-0.05860756243916909,1.7785305759749417,-0.23428630527162,0.3955220868398093,2.50631616000349
11,7.375169,18.895448,14.586371,0.14779605950836,-0.09121662905024774,0.7277855840285482,-0.37736166741093,0.16334890449598105,1.7785305759749417,-0.22956560790257,0.44775150912570383,2.50631616000349
12,9.664869,20.479752,14.569613,0.12188879867623,-0.18041419214715548,0.7277855840285482,-0.36772798604544,0.2020279879631779,1.7785305759749417,-0.2458391873692,0.26770191314054026,2.50631616000349
13,8.284525,18.185113,14.119475,0.26785275868207,0.3221333221137339,0.7277855840285482,-0.49741791117656,-0.3186750796066661,1.7785305759749417,-0.22956515249449,0.4477565477246783,2.50631616000349
14,7.942008,19.436316,13.941966,0.26099361361148,0.2985175863866274,0.7277855840285482,-0.4923040451837,-0.29814298579189114,1.7785305759749417,-0.23131043157222,0.42844691805955093,2.50631616000349
15,9.11411,19.993852,13.869596,0.25923664979693,0.2924684370102122,0.7277855840285482,-0.49783371830291,-0.3203445388648849,1.7785305759749417,-0.23859706850598,0.34782814339449897,2.50631616000349
16,9.662641,19.17621,26.897213,-0.10399168923574,-0.9581108079121405,0.7277855840285482,-0.19873533676938,0.8805308923779493,1.7785305759749417,-0.30272702600513,-0.3617006337220936,2.50631616000349
17,10.491623,19.704886,26.661472,-0.10640018754848,-0.9664031619981808,0.7277855840285482,-0.20091310511788,0.8717871857378694,1.7785305759749417,-0.30731329266636,-0.4124427252900823,2.50631616000349
18,8.691467,19.029531,26.624116,-0.10656032637094,-0.9669545129423502,0.7277855840285482,-0.2022355286742,0.8664776753676051,1.7785305759749417,-0.30879585504515,-0.4288456781789235,2.50631616000349
19,10.645468,18.803763,26.211428,-0.10086266110478,-0.9473377012548299,0.7277855840285482,-0.19448923478659,0.897578926952862,1.7785305759749417,-0.29535189589137,-0.2801027775132967,2.50631616000349
20,10.821604,20.430007,26.03083,-0.11269988566886,-0.9880927464056215,0.7277855840285482,-0.21156741488018,0.8290102948540166,1.7785305759749417,-0.32426730054904,-0.6000205274488077,2.50631616000349
21,7.996239,19.349995,25.979712,-0.11209226542409,-0.9860007365450262,0.7277855840285482,-0.21196306458507,0.8274217673349282,1.7785305759749417,-0.32405533000916,-0.59767530216236,2.50631616000349
22,8.477416,18.431025,25.840027,-0.10399090598423,-0.9581081112115346,0.7277855840285482,-0.20020337042122,0.8746367596992852,1.7785305759749417,-0.30419427640545,-0.3779341760923136,2.50631616000349
23,11.145015,19.524469,25.727118,-0.1057062015647,-0.9640137986850275,0.7277855840285482,-0.19995076597465,0.8756509626921376,1.7785305759749417,-0.30565696753935,-0.39411727509949945,2.50631616000349
24,10.740959,18.480545,25.25526,-0.10668463887989,-0.9673825154599708,0.7277855840285482,-0.20672691670731,0.8484448210489495,1.7785305759749417,-0.3134115555872,-0.47991342387609714,2.50631616000349
25,10.518774,21.024687,25.253855,-0.11557857223275,-0.9980039380241639,0.7277855840285482,-0.22536913599281,0.7735965954951491,1.7785305759749417,-0.34094770822556,-0.7845712385682451,2.50631616000349
26,7.851598,20.014775,25.212755,-0.11615832459873,-1.0,0.7277855840285482,-0.2266725960892,0.7683632231267177,1.7785305759749417,-0.34283092068793,-0.8054069522905538,2.50631616000349
27,7.997119,18.909907,25.07307,-0.1106512285381,-0.981039309731287,0.7277855840285482,-0.21489235364495,0.8156607165228764,1.7785305759749417,-0.32554358218305,-0.6141412064941274,2.50631616000349
28,11.088167,20.22996,24.998921,-0.11217956684674,-0.9863013115153301,0.7277855840285482,-0.21693759662244,0.8074490972222403,1.7785305759749417,-0.32911716346918,-0.6536790271750184,2.50631616000349
29,8.797674,18.150209,24.933385,-0.10852581239135,-0.9737215951305291,0.7277855840285482,-0.21309103975951,0.8228929642464868,1.7785305759749417,-0.32161685215087,-0.5706961760208634,2.50631616000349
30,11.067787,19.266309,24.708691,-0.11287550973093,-0.9886974123507914,0.7277855840285482,-0.21872079593437,0.8002895792344582,1.7785305759749417,-0.3315963056653,-0.6811080603337334,2.50631616000349
31,12.495056,21.338999,11.097244,-0.00822014316669,-0.6283735740634723,0.7277855840285482,-0.25373024808269,0.6597271638491509,1.7785305759749417,-0.26195039124938,0.08944882780001495,2.50631616000349
32,12.960014,22.238909,11.002966,-0.02236363024334,-0.6770689799230221,0.7277855840285482,-0.23400037088428,0.73894231930245,1.7785305759749417,-0.25636400112762,0.1512562062259426,2.50631616000349
33,11.789981,20.772455,10.660681,0.01203361899677,-0.5586407589954867,0.7277855840285482,-0.27537552963795,0.5728216891729816,1.7785305759749417,-0.26334191064118,0.07405316731776757,2.50631616000349
34,12.293524,22.93942,10.660588,-0.03315206103877,-0.7142130741145064,0.7277855840285482,-0.23537174636101,0.7334362677197892,1.7785305759749417,-0.26852380739978,0.01672107146657975,2.50631616000349
35,13.714567,21.716848,10.599733,-0.0094157462023,-0.6324899828918196,0.7277855840285482,-0.22325732263141,0.7820754938699013,1.7785305759749417,-0.23267306883372,0.4133708071823776,2.50631616000349
36,13.281991,22.941381,10.35491,-0.02421636804935,-0.6834478749526598,0.7277855840285482,-0.21599103970363,0.8112495087866354,1.7785305759749417,-0.24020740775298,0.3300114773428817,2.50631616000349
