point_index,x,y,z,cp_effect,cp_effect_normalized,cp_baseline,dm_effect,dm_effect_normalized,dm_baseline,ea_effect,ea_effect_normalized,ea_baseline,efl_effect,efl_effect_normalized,efl_baseline,eng_effect,eng_effect_normalized,eng_baseline,gap_effect,gap_effect_normalized,gap_baseline,gse_effect,gse_effect_normalized,gse_baseline,hard_effect,hard_effect_normalized,hard_baseline,homo_effect,homo_effect_normalized,homo_baseline,ie_effect,ie_effect_normalized,ie_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline,nfl_effect,nfl_effect_normalized,nfl_baseline,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s1_osc_effect,s1_osc_effect_normalized,s1_osc_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline,s2_osc_effect,s2_osc_effect_normalized,s2_osc_baseline
0,0.551577,-1.364338,-0.379327,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
1,0.004572,-0.127505,2.333703,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
2,-0.076554,0.782439,1.925855,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
3,-0.873694,0.126057,1.920019,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
4,0.892528,0.069025,1.914316,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
5,-0.472504,-0.899782,1.909674,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
6,0.539999,-0.86846,1.896543,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
7,0.701984,0.848038,1.269188,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
8,-1.121831,-0.534839,1.210298,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
9,-0.747988,0.82157,1.177936,0.0,1.0,-0.18186967672385634,0.0,-1.0,2.0171820815213057,0.0,-1.0,-0.07704637704851791,0.0,-1.0,0.0638751032037574,0.0,-1.0,0.18186967672385634,0.0,-1.0,7.771512020326048,0.0,1.0,-47955.21497703018,0.0,-1.0,0.25891605377237426,0.0,1.0,-8.165764859541328,0.0,-1.0,0.4407857304962306,0.0,1.0,-0.3942528392152813,0.0,1.0,15.655552004512078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.2989468338366733,0.0
