point_index,x,y,z,gse_effect,gse_effect_normalized,gse_baseline
0,0.551577,-1.364338,-0.379327,-3.805181494448334,-0.8608200167675163,-47955.21497703019
1,0.004572,-0.127505,2.333703,4.142847916744358,1.0,-47955.21497703019
2,-0.076554,0.782439,1.925855,3.6065309073237586,0.874435614813234,-47955.21497703019
3,-0.873694,0.126057,1.920019,3.21368813249137,0.7824619115175253,-47955.21497703019
4,0.892528,0.069025,1.914316,3.185872977017425,0.7759497315295487,-47955.21497703019
5,-0.472504,-0.899782,1.909674,3.2899354795736144,0.8003132029931528,-47955.21497703019
6,0.539999,-0.86846,1.896543,3.244661359130987,0.7897134700024135,-47955.21497703019
7,0.701984,0.848038,1.269188,2.2441329796420177,0.5554663202277557,-47955.21497703019
8,-1.121831,-0.534839,1.210298,0.9015593607764458,0.2411383610922646,-47955.21497703019
9,-0.747988,0.82157,1.177936,1.9816782031775801,0.49401950413350293,-47955.21497703019
10,1.122996,-0.538428,1.148624,0.6490615067014005,0.1820226939569587,-47955.21497703019
11,0.031934,-1.315289,1.142655,1.3975970065512229,0.35727240295024854,-47955.21497703019
12,-0.014384,1.52042,1.014133,3.1605142494736356,0.7700126589079017,-47955.21497703019
13,0.883597,1.544105,0.572729,2.4393284034522367,0.601166145054268,-47955.21497703019
14,-0.887639,1.605003,0.524583,2.5586383723275503,0.6290994058409538,-47955.21497703019
15,0.169493,2.216574,0.318604,3.9519525918221916,0.95530692913362,-47955.21497703019
16,-1.187402,0.944692,-0.166038,-0.43428033176314784,-0.07161302802183589,-47955.21497703019
17,1.186533,0.943963,-0.181159,-0.44042079940845724,-0.07305065545318556,-47955.21497703019
18,-0.62196,2.116226,-0.31472,3.6224317812011577,0.8781583821640306,-47955.21497703019
19,0.844949,1.925047,-0.361673,3.1447061184298946,0.7663116048287042,-47955.21497703019
20,-0.76986,1.364262,-0.998047,1.6994875139644137,0.4279520481809862,-47955.21497703019
21,0.105112,1.873408,-1.033195,3.1975526565220207,0.7786842183170504,-47955.21497703019
22,0.711285,0.925563,-1.062109,0.2198471713491017,0.08153355565780007,-47955.21497703019
23,1.321155,0.33051,0.657496,-1.5461560537441983,-0.3319292010730496,-47955.21497703019
24,-1.364123,0.250464,0.603886,-1.8817483112579794,-0.4104992160977087,-47955.21497703019
25,-0.765915,-1.197296,0.50525,-1.8253906328536686,-0.3973045623479875,-47955.21497703019
26,-0.716984,-1.09585,-0.78371,-4.399654141030624,-1.0,-47955.21497703019
27,-1.310343,-0.095467,-0.784025,-4.070004016823077,-0.9228211776882127,-47955.21497703019
28,1.307712,-0.122661,-0.784443,-4.110893978388049,-0.932394476304572,-47955.21497703019
29,0.63093,-0.74625,-1.18087,-4.3290808725505485,-0.9834771433468155,-47955.21497703019
30,-0.630771,0.431596,-1.336152,-1.9351590875157854,-0.42300393096849853,-47955.21497703019
31,1.230972,-0.858014,0.200758,-3.387295702828851,-0.7629831561397468,-47955.21497703019
