point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline
0,-8.975343,-0.946605,1.873613,0.0019779697754209735,0.3491058433348193,3.511993338031222,0.003088205829967272,0.05817942686171107,3.619868197055589
1,3.38956,0.831319,5.099955,0.0002787405867783477,0.20985759273358595,3.511993338031222,-0.005437092094331408,-0.8606914271901832,3.619868197055589
2,4.644652,0.204363,-4.898523,0.001832377578045996,0.3371748696197021,3.511993338031222,-0.006729599176665602,-1.0,3.619868197055589
3,3.374021,2.268794,-4.899185,-0.0012908531652326971,0.08123269293607471,3.511993338031222,-0.0037710361163503237,-0.681121130295054,3.619868197055589
4,2.303238,0.176349,-4.938714,-0.0001019633687509014,0.17865970597484626,3.511993338031222,-0.00563294905451972,-0.8818012175902703,3.619868197055589
5,1.887022,1.721515,5.087452,-0.003449716900955746,-0.09568164004217206,3.511993338031222,-0.002840127829992767,-0.5807862798622792,3.619868197055589
6,3.249461,2.789903,4.810843,-0.0021093748202125617,0.014156568480950593,3.511993338031222,-0.0029158269686186955,-0.5889452594988673,3.619868197055589
7,1.55103,3.394785,4.69254,-0.006762414808881623,-0.3671502515350856,3.511993338031222,0.0005056269410790293,-0.2201752406655645,3.619868197055589
8,2.90617,4.367137,4.146604,-0.004481030688223697,-0.18019563124350724,3.511993338031222,-0.0002051111473702072,-0.2967797793150786,3.619868197055589
9,0.064571,3.976723,3.929762,-0.01290902480523659,-0.870851985733869,3.511993338031222,0.0055541997627415185,0.32396837303293413,3.619868197055589
10,1.413786,5.07371,3.553669,-0.009116676563371673,-0.5600770403174768,3.511993338031222,0.0041758740236064185,0.1754101220102915,3.619868197055589
11,2.976591,5.602591,2.907965,-0.005381539404397007,-0.2539904225620715,3.511993338031222,0.0015157105359762113,-0.11130674319503964,3.619868197055589
12,0.106835,5.456815,2.464824,-0.014485002058442387,-1.0,3.511993338031222,0.010260313572001412,0.831201182206085,3.619868197055589
13,1.604177,6.17659,1.939694,-0.00949294861240002,-0.5909117416794474,3.511993338031222,0.00602269707598424,0.374463796203236,3.619868197055589
14,3.123248,6.383145,1.082065,-0.005572239797772216,-0.2696179178663849,3.511993338031222,0.0023928255069369797,-0.016769826171729396,3.619868197055589
15,0.286558,6.180465,0.721859,-0.014311025005098177,-0.9857429471640075,3.511993338031222,0.01182643160112029,1.0,3.619868197055589
16,1.801185,6.579989,-0.042431,-0.0091908624077095,-0.5661564139019606,3.511993338031222,0.006256205281315097,0.39963170071117604,3.619868197055589
17,0.376176,6.159078,-1.024321,-0.013898052432577135,-0.9519007152542657,3.511993338031222,0.011235939682822327,0.9363557944725049,3.619868197055589
18,3.119271,6.348194,-1.232557,-0.005560015079904446,-0.2686161280027465,3.511993338031222,0.002348976522243529,-0.021495943003346674,3.619868197055589
19,1.703084,6.064139,-2.214447,-0.009109640496615778,-0.5595004494765117,3.511993338031222,0.005460817085645164,0.3139034320749632,3.619868197055589
20,0.092394,5.373971,-2.58184,-0.014470586811962782,-0.9988187009335251,3.511993338031222,0.010043595347463352,0.807842929880108,3.619868197055589
21,3.176249,5.486002,-3.005973,-0.004821397884180012,-0.20808800557167206,3.511993338031222,0.0009638847914108517,-0.17078344391553757,3.619868197055589
22,1.478137,5.027413,-3.612526,-0.008872693900597195,-0.5400831753371348,3.511993338031222,0.003900819949248735,0.14576433432524838,3.619868197055589
23,0.048293,4.012442,-3.898213,-0.013037347582628644,-0.8813677668795594,3.511993338031222,0.0057218667560210434,0.34203980170077686,3.619868197055589
