point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline
0,0.969663,1.451681,-0.346153,0.0018106700998101743,-0.29554849348392565,7.56919574648848,0.043132182956437504,-0.33652341700414046,9.390294904359235
1,0.004572,-0.011758,1.637124,0.2065559475639116,0.6192748037139815,7.56919574648848,0.24978262109072347,0.5877601400298178,9.390294904359235
2,-0.393951,0.847387,1.315983,0.18874025890042834,0.5396724448862584,7.56919574648848,0.23123282890995256,0.5047926512895216,9.390294904359235
3,0.640404,0.688781,1.311271,0.2089521839516646,0.6299814383199696,7.56919574648848,0.2513508738775716,0.5947744501723129,9.390294904359235
4,-0.932374,-0.153153,1.307816,0.24494220725720695,0.790788623689012,7.56919574648848,0.287634002979928,0.7570576755543756,9.390294904359235
5,0.873268,-0.383193,1.3008,0.23603624828089043,0.7509958682402242,7.56919574648848,0.27859453005211066,0.7166269062471946,9.390294904359235
6,-0.10443,-0.949344,1.299648,0.17524202210583262,0.4793609122163278,7.56919574648848,0.2179410025821209,0.4453424191550872,9.390294904359235
7,-1.211745,0.644123,0.770766,0.25284407684883625,0.8260950028317966,7.56919574648848,0.29719890142160565,0.7998385108342771,9.390294904359235
8,-0.949017,-0.996593,0.762599,0.201561503199712,0.596959104336106,7.56919574648848,0.2458030721326896,0.5699608471779336,9.390294904359235
9,0.686636,-1.204917,0.739354,0.159082308620615,0.4071576235474974,7.56919574648848,0.20424204391520107,0.38407120986738197,9.390294904359235
10,1.366725,0.269244,0.725427,0.28413443724066934,0.9659036031507293,7.56919574648848,0.32952769364697865,0.944435209212735,9.390294904359235
11,0.207865,1.389844,0.696423,0.11186246418907153,0.19617442378304473,7.56919574648848,0.15912192434461048,0.18226285665497333,9.390294904359235
12,-1.484857,-0.223267,0.353294,0.29176550244726496,1.0,7.56919574648848,0.3419508166957925,1.0,9.390294904359235
13,1.376946,-0.631352,0.242931,0.25663684584231383,0.8430414910687793,7.56919574648848,0.306622877206042,0.8419890426119085,9.390294904359235
14,-1.178358,0.905879,-0.201033,0.17910932777789146,0.4966404381228793,7.56919574648848,0.23396351280365835,0.5170061565944057,9.390294904359235
15,1.378791,0.516345,-0.260612,0.23216859853181315,0.7337148049615956,7.56919574648848,0.29435885690393704,0.7871358692496522,9.390294904359235
16,-1.202813,-0.689087,-0.506363,0.1734782726077153,0.47148029513307543,7.56919574648848,0.24069858001033317,0.5471300311472531,9.390294904359235
17,1.197729,-0.40924,-0.72447,0.1672227481441455,0.44352995807844686,7.56919574648848,0.25057819882758636,0.5913185134219265,9.390294904359235
18,-1.071232,0.229388,-0.936505,0.13126638975647253,0.282873191080693,7.56919574648848,0.23159973275745926,0.5064336988301157,9.390294904359235
19,0.538548,0.078654,-1.302042,0.026403737978532682,-0.18566409603319778,7.56919574648848,0.16297004825131367,0.19947432586116864,9.390294904359235
20,-0.5544,1.657337,0.096312,0.005568771593786437,-0.2787569032577406,7.56919574648848,0.04575230858053381,-0.32480440467791516,9.390294904359235
21,0.104869,1.941893,-0.614868,-0.12630156322003128,-0.8679673406907626,7.56919574648848,-0.10520728010608238,-1.0,9.390294904359235
22,-0.785273,1.562437,-0.883583,-0.09682421352090742,-0.7362594616207003,7.56919574648848,-0.058414069868957696,-0.7907084292030269,9.390294904359235
23,0.863947,1.026228,-1.256283,-0.07426041245627957,-0.6354420403696549,7.56919574648848,0.002331594426044248,-0.5190118425619181,9.390294904359235
24,-0.059934,1.306616,-1.532956,-0.15585160151419686,-1.0,7.56919574648848,-0.09001461284862877,-0.9320478937265666,9.390294904359235
25,-0.187212,-1.560819,0.400971,0.05364255256704098,-0.0639582257818525,7.56919574648848,0.10148582671506645,-0.07552559911386503,9.390294904359235
26,0.659045,-1.705838,-0.148662,-0.03081113575734218,-0.4413061312884049,7.56919574648848,0.0037989588752918024,-0.5124487747801099,9.390294904359235
27,-0.551489,-1.573442,-1.1519,-0.1350256521221409,-0.9069474816411439,7.56919574648848,-0.0940755911663711,-0.950211394943639,9.390294904359235
28,0.7665,-1.376228,-1.152166,-0.10710605455968736,-0.7821998019150479,7.56919574648848,-0.054927608968085906,-0.775114566871975,9.390294904359235
29,-0.742035,-0.610605,-1.400588,-0.051398812016119066,-0.5332940203863578,7.56919574648848,0.06028435508089203,-0.2598070509263313,9.390294904359235
