point_index,x,y,z,homo_effect,homo_effect_normalized,homo_baseline
195,0.297135,-4.335663,-1.041945,-0.3194037760431323,0.44804699433511797,-8.485275048487397
196,1.205905,-3.568635,-1.486002,-0.3336922054612188,0.28960364768067093,-8.485275048487397
197,0.91034,-2.638811,-1.756441,-0.3614335861440354,-0.018018489615727162,-8.485275048487397
198,0.058816,-3.807338,-1.871169,-0.32043940454831965,0.43656298573967933,-8.485275048487397
199,-1.626968,-3.697513,0.975891,-0.34013967727119443,0.21810810529869018,-8.485275048487397
200,-2.340205,-3.583931,0.28381,-0.3512887300027785,0.09447707664392202,-8.485275048487397
201,-5.465103,1.409054,0.843679,-0.30368627703946416,0.6223371888911986,-8.485275048487397
202,-4.944526,2.233291,0.578678,-0.30590606738460213,0.597722096436762,-8.485275048487397
203,-5.793894,0.935492,0.012068,-0.3107647857832969,0.5438441241967709,-8.485275048487397
204,-5.602627,1.924664,-0.111944,-0.29180880454276537,0.7540456109372888,-8.485275048487397
205,-4.974665,1.943476,-0.901245,-0.30742299310240817,0.5809010183236452,-8.485275048487397
