point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline
0,-2.14388,-3.755443,-1.329899,-0.01750780185941,-0.363021321754708,7.569199294361743,-0.02482335117579,-0.5770063907585704,9.390299874696828
1,0.007958,-0.020468,4.677123,0.03161816992138,1.0,7.569199294361743,0.03857724838205,1.0,9.390299874696828
2,-0.71214,1.531808,4.352742,0.02938907488819,0.9381527947780244,7.569199294361743,0.03549582288324,0.9233536001526836,9.390299874696828
3,1.15834,1.245842,4.347983,0.0299208915011,0.9529082765808936,7.569199294361743,0.03628164591583,0.9428999128538618,9.390299874696828
4,-1.70394,0.091414,4.345868,0.03096511439537,0.9818806921476628,7.569199294361743,0.03781952765423,0.9811526951083127,9.390299874696828
5,1.654835,-0.475422,4.339627,0.03080436571388,0.97742065049612,7.569199294361743,0.03758739895491,0.9753787995164875,9.390299874696828
6,-0.889527,-1.47601,4.338993,0.02947331136808,0.9404899723237832,7.569199294361743,0.0356282450587,0.9266474273157541,9.390299874696828
7,0.780098,-2.019414,4.13053,0.02766441633589,0.890301397760964,7.569199294361743,0.0330847918488,0.8633823794363815,9.390299874696828
8,0.440181,2.718637,3.751575,0.02423011156125,0.7950151273106607,7.569199294361743,0.02820617487611,0.7420332092763025,9.390299874696828
9,2.724005,0.788535,3.688116,0.028916487911374134,0.925040664830592,7.569199294361743,0.035373625695337196,0.9203141060848139,9.390299874696828
10,-2.352926,1.587713,3.686,0.027555716649881212,0.887285477987221,7.569199294361743,0.033313565982712845,0.869072834632971,9.390299874696828
11,-2.514222,-1.335965,3.679126,0.028062432094033696,0.9013445170129348,7.569199294361743,0.034089596153757284,0.8883755628042098,9.390299874696828
12,2.448103,-1.796864,3.518892,0.026537749518451115,0.8590415399094959,7.569199294361743,0.03195499444447414,0.8352801573862745,9.390299874696828
13,-0.558676,-3.011597,3.495306,0.02214124040274701,0.7370584941036331,7.569199294361743,0.02524207892121133,0.668305227265148,9.390299874696828
14,-1.24932,2.937698,3.373359,0.022039189998001696,0.7342270615126965,7.569199294361743,0.025207785517968873,0.6674522240372387,9.390299874696828
15,2.118166,2.420183,3.349774,0.024039917917792586,0.7897381224617501,7.569199294361743,0.028323492684346974,0.744951335203025,9.390299874696828
16,-3.305365,0.19175,3.252682,0.028013125180718745,0.8999764753901027,7.569199294361743,0.034592233996100674,0.9008780169630146,9.390299874696828
17,1.353528,-3.238683,3.027931,0.019267785627048006,0.6573332493013073,7.569199294361743,0.02129789705577778,0.5701988993836853,9.390299874696828
18,3.539623,-0.56724,2.935493,0.026709271785512634,0.8638004993496016,7.569199294361743,0.03311443656222757,0.8641197526292774,9.390299874696828
19,-2.214412,-2.895886,2.856486,0.02020484672589351,0.6833324145333477,7.569199294361743,0.023018098561738753,0.6129866456701873,9.390299874696828
20,-0.037433,3.874046,2.522164,0.013254480657183265,0.4904915036619013,7.569199294361743,0.012449430828560537,0.35010495885237014,9.390299874696828
21,-2.800646,2.735157,2.455743,0.01914922437890354,0.6540437162234507,7.569199294361743,0.022052311181690598,0.5889639569090117,9.390299874696828
22,3.51226,1.757747,2.434062,0.022569521354659727,0.7489413342388527,7.569199294361743,0.02759182868653376,0.7267521571434112,9.390299874696828
23,-3.731373,-1.288827,2.399582,0.023547383320285498,0.7760725371558825,7.569199294361743,0.02924204903155392,0.7677992142439114,9.390299874696828
24,1.694738,3.678892,2.211744,0.012868410546984954,0.47977982157568033,7.569199294361743,0.012370118697711874,0.34813217408242614,9.390299874696828
25,-0.035023,-4.055672,2.201379,0.010283018318690829,0.408046996666112,7.569199294361743,0.008169768615729822,0.24365399928747067,9.390299874696828
26,2.880303,-2.874632,2.174832,0.017137683767764145,0.5982326524791479,7.569199294361743,0.0194054678053881,0.5231272148454287,9.390299874696828
27,-3.875935,1.391565,2.075307,0.021853556563279142,0.7290765816262845,7.569199294361743,0.027338819473689213,0.7204588862854182,9.390299874696828
28,-1.63832,3.892091,1.837971,0.009290229854483023,0.3805016515939459,7.569199294361743,0.007287121956327525,0.22169932642370282,9.390299874696828
29,4.274097,0.370565,1.662612,0.021287311255141717,0.7133658607925304,7.569199294361743,0.02768224080632642,0.7290010395153355,9.390299874696828
30,3.98533,-1.651272,1.595029,0.018753860953240498,0.643074187082626,7.569199294361743,0.023701182653075747,0.6299774625548322,9.390299874696828
31,-1.666223,-3.992312,1.558963,0.006790080800758602,0.3111339354091682,7.569199294361743,0.0038070657309567935,0.13513751240486127,9.390299874696828
32,1.661706,-4.017549,1.492543,0.006157191536352968,0.29357414920190883,7.569199294361743,0.0029208582260071836,0.11309426819912205,9.390299874696828
33,-3.336361,-2.788164,1.491379,0.013781412513934832,0.5051114557937193,7.569199294361743,0.01573242087770943,0.43176501135047585,9.390299874696828
34,3.126237,3.081816,1.351135,0.011369674594818413,0.4381967447543451,7.569199294361743,0.01213117607798253,0.34218879119700074,9.390299874696828
35,-4.41044,-0.095751,1.271494,0.019285322805322025,0.6578198258929635,7.569199294361743,0.025780322736491,0.6816933330938311,9.390299874696828
36,0.623229,4.42826,1.009197,-0.0007669443977933454,0.101461004751912,7.569199294361743,-0.0074356781267770344,-0.14451092999090887,9.390299874696828
37,-3.626377,2.652058,0.897932,0.010669268697493628,0.4187636803826855,7.569199294361743,0.012621512589571893,0.35438526595893505,9.390299874696828
38,4.142192,1.82806,0.659433,0.01250096964329206,0.4695850148764249,7.569199294361743,0.016847195312392316,0.45949355682180637,9.390299874696828
39,0.217778,-4.534869,0.542774,-0.005690251665158463,-0.03513828348023729,7.569199294361743,-0.014341489704092325,-0.3162838953374809,9.390299874696828
40,3.448921,-2.954136,0.531457,0.0064221129818600176,0.3009245092197719,7.569199294361743,0.006869270227980451,0.2113058151542755,9.390299874696828
41,-4.226985,-1.668971,0.492324,0.011872351880277243,0.4521437433216098,7.569199294361743,0.016578593286624255,0.4528124352841387,9.390299874696828
42,-2.467469,3.83166,0.270747,-0.0017583655740569526,0.07395359567476789,7.569199294361743,-0.0062969432329005315,-0.11618639966237887,9.390299874696828
43,4.511437,-0.6487,0.257632,0.012460490947218794,0.46846191595695963,7.569199294361743,0.018879114887470294,0.5100348794236864,9.390299874696828
44,2.128422,4.031261,0.228335,-0.00386914489863166,0.015389110930277727,7.569199294361743,-0.009784690332001134,-0.20293951403337962,9.390299874696828
45,-4.386048,1.247468,0.118762,0.010358913763112376,0.4101527485773866,7.569199294361743,0.015966225412583412,0.4375805911439796,9.390299874696828
