point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline
0,-0.534639,1.653721,0.525248,0.005898442466753195,0.43648323409284795,7.402026190150441
1,-0.123051,-0.083635,1.523266,0.11255750686821475,0.8019641218028177,7.402026190150441
2,-0.724408,-0.90928,1.404833,0.067584619652167,0.6478587878132553,7.402026190150441
3,-0.335519,0.91696,1.386296,0.11212026868197,0.8004658693913027,7.402026190150441
4,-1.733084,-0.939883,1.132485,0.05859252572807705,0.6170462311103597,7.402026190150441
5,-1.331532,1.344101,1.087546,0.04678022420634509,0.576569873378487,7.402026190150441
6,-2.369175,-0.16656,0.897398,0.06363968700432121,0.6343409729497775,7.402026190150441
7,-2.177168,0.849592,0.882419,0.0531786479443177,0.5984948883860883,7.402026190150441
8,-1.015745,-1.505929,0.653324,0.0645203831561858,0.637358790640121,7.402026190150441
9,-2.593848,0.396855,0.078481,0.0573950531477978,0.6129429385856711,7.402026190150441
10,0.255039,1.297395,0.011728,-0.04050595016102321,0.27747266423255845,7.402026190150441
11,-0.720434,-1.578772,-0.307244,0.0761827348083095,0.6773213260188355,7.402026190150441
12,-2.193291,0.947182,-0.688476,0.041511485977474116,0.5585158698504677,7.402026190150441
13,0.108548,1.010143,-0.939291,-0.09997956085317483,0.07367875179704986,7.402026190150441
14,-0.624349,-1.077771,-1.180556,0.07240929657883033,0.664391158652677,7.402026190150441
15,-1.968222,0.17882,-1.305636,0.04499847690606362,0.5704644890059911,7.402026190150441
16,-0.205876,0.207838,-1.501588,0.01226159477547828,0.45828738704953476,7.402026190150441
17,-1.110513,0.63835,-1.560103,0.011243188177450847,0.45479768695151246,7.402026190150441
18,0.771474,-0.53027,1.602139,0.10407318301070134,0.7728915039951898,7.402026190150441
19,1.470811,-1.097815,1.15481,0.10280737448855337,0.7685540496499672,7.402026190150441
20,2.078894,-0.897211,0.381019,0.17035073818813817,1.0,7.402026190150441
21,1.655169,-1.677184,-0.110687,0.09182922287196682,0.7309360129574412,7.402026190150441
22,2.165431,-0.319988,-0.458215,0.1343202511141799,0.8765369406312511,7.402026190150441
23,0.169678,-2.003571,-0.586478,0.07643923322729229,0.6782002505658686,7.402026190150441
24,1.69691,0.483743,-0.893747,-0.09782130246357124,0.08107429943818412,7.402026190150441
25,1.070376,-1.764269,-0.951419,0.08135843101341944,0.6950565091856475,7.402026190150441
26,1.382393,0.437622,2.124376,0.1360846610658797,0.8825829163675871,7.402026190150441
27,0.98387,1.296767,1.803235,0.14357106835483435,0.908236045776512,7.402026190150441
28,2.018225,1.138161,1.798523,0.0872984964379997,0.7154109009723537,7.402026190150441
29,2.251089,0.066187,1.788052,0.12455664229947505,0.843080689754909,7.402026190150441
30,2.744546,0.718624,1.212679,0.09632315935120772,0.746335059470385,7.402026190150441
31,1.585686,1.839224,1.183675,-0.03732027002577176,0.28838880352484875,7.402026190150441
32,0.394822,1.529341,1.026089,0.10188606020535573,0.7653970487520827,7.402026190150441
33,2.673827,-0.27025,0.940437,0.1700490453923056,0.9989662111564979,7.402026190150441
34,2.656704,1.226454,0.337945,-0.07439377424425331,0.16135171288162464,7.402026190150441
35,2.791622,0.256094,0.080781,0.12291901145597528,0.8374691388025146,7.402026190150441
36,-1.475226,1.920025,0.276679,0.01292339229486128,0.46055512065685345,7.402026190150441
37,-0.693786,2.219067,-0.306377,-0.06582423570595441,0.19071632966143737,7.402026190150441
38,-1.870737,1.894272,-0.657723,0.004982455356247861,0.433344487431633,7.402026190150441
39,-0.447102,1.812211,-1.192898,-0.09412382106473594,0.09374419103643539,7.402026190150441
40,0.507431,-1.950902,1.462318,0.06643282863970246,0.6439120290070142,7.402026190150441
41,1.391371,-2.094503,0.972768,0.07383450606343622,0.669274820726121,7.402026190150441
42,-0.248172,-2.170621,0.824749,0.06719281801675425,0.6465162295382465,7.402026190150441
43,0.628944,-2.611484,0.575133,0.06659287537547254,0.6444604495598532,7.402026190150441
44,0.929592,2.196428,0.487702,-0.21875494384244387,-0.3333202468967251,7.402026190150441
45,2.20749,2.114362,0.443536,-0.27413679252293566,-0.5230932149266978,7.402026190150441
46,1.563981,2.408132,-0.266185,-0.4133135134216568,-1.0,7.402026190150441
47,2.446202,1.782358,-0.473889,-0.3487223271083515,-0.7786700619914364,7.402026190150441
48,0.740112,1.943185,-0.596708,-0.3538447862456291,-0.7962228215553446,7.402026190150441
49,1.627571,1.741891,-1.06172,-0.40963075238917934,-0.9873805496145427,7.402026190150441
50,-2.353138,-1.065874,0.350644,0.05847848156900426,0.6166554442538468,7.402026190150441
51,-1.705722,-1.745071,-0.034391,0.05263848454272768,0.5966439495968778,7.402026190150441
52,-2.789718,-0.495169,-0.360536,0.05775540806929058,0.614177740684648,7.402026190150441
53,-2.49536,-1.432402,-0.598348,0.04712084024216612,0.5777370376681674,7.402026190150441
54,-1.465515,-1.703874,-1.014286,0.05105412317224367,0.5912149332878811,7.402026190150441
55,-2.484195,-0.687911,-1.297723,0.04529742769386669,0.5714888820092581,7.402026190150441
56,-1.52676,-0.919119,-1.646947,0.0440248226168114,0.5671281384017977,7.402026190150441
57,-1.219025,0.135486,2.30014,0.05747505337528391,0.6132170695685621,7.402026190150441
58,-1.770625,0.864468,1.891629,0.05015612537155256,0.5881378292911419,7.402026190150441
59,-2.069875,-0.189997,1.881284,0.05220792545657904,0.5951685839737098,7.402026190150441
60,1.847246,-1.089113,-1.021225,0.06435858681969897,0.636804374857278,7.402026190150441
61,0.882721,0.642566,-1.483983,-0.13786896669834725,-0.05615412983196977,7.402026190150441
62,0.245245,-1.509405,-1.490084,0.07331899304646416,0.6675083496237697,7.402026190150441
63,1.896764,-0.237113,-1.566348,-0.03473995901995064,0.29723056828499783,7.402026190150441
64,1.312442,-1.35143,-1.829626,0.03731890922398495,0.5441494708739132,7.402026190150441
