point_index,x,y,z,gse_effect,gse_effect_normalized,gse_baseline
0,0.969663,1.451681,-0.346153,-36.84046133230004,0.27394665693518494,-47535.22954787362
1,0.004572,-0.011758,1.637124,-34.12294625439972,1.0,-47535.22954787362
2,-0.393951,0.847387,1.315983,-34.333110036888684,0.9438493945780952,-47535.22954787362
3,0.640404,0.688781,1.311271,-34.38953723190207,0.9287734327509054,-47535.22954787362
4,-0.932374,-0.153153,1.307816,-34.517598763988644,0.8945585339098283,-47535.22954787362
5,0.873268,-0.383193,1.3008,-34.48898067097616,0.9022045860965588,-47535.22954787362
6,-0.10443,-0.949344,1.299648,-34.33292530990002,0.9438987490964066,-47535.22954787362
7,-1.211745,0.644123,0.770766,-35.248919422032486,0.6991676001324338,-47535.22954787362
8,-0.949017,-0.996593,0.762599,-35.385688453803596,0.6626262710510595,-47535.22954787362
9,0.686636,-1.204917,0.739354,-35.61804170319374,0.6005471845857755,-47535.22954787362
10,1.366725,0.269244,0.725427,-35.2931769952047,0.6873430626279531,-47535.22954787362
11,0.207865,1.389844,0.696423,-36.00787971905811,0.4963920330747953,-47535.22954787362
12,-1.484857,-0.223267,0.353294,-35.872833384535625,0.5324730997250156,-47535.22954787362
13,1.376946,-0.631352,0.242931,-36.255176280334126,0.43032046037109795,-47535.22954787362
14,-1.178358,0.905879,-0.201033,-37.869529066949326,-0.0009949892247114178,-47535.22954787362
15,1.378791,0.516345,-0.260612,-37.40036421143304,0.124354347221036,-47535.22954787362
16,-1.202813,-0.689087,-0.506363,-38.478774016402895,-0.1637702893116918,-47535.22954787362
17,1.197729,-0.40924,-0.72447,-38.85020922664262,-0.26300866275059964,-47535.22954787362
18,-1.071232,0.229388,-0.936505,-39.5883313339873,-0.4602167768787926,-47535.22954787362
19,0.538548,0.078654,-1.302042,-41.60866367132985,-1.0,-47535.22954787362
20,-0.5544,1.657337,0.096312,-36.513331553658645,0.36134770627256363,-47535.22954787362
21,0.104869,1.941893,-0.614868,-36.91364632071054,0.254393423935771,-47535.22954787362
22,-0.785273,1.562437,-0.883583,-37.254721682853415,0.16326645690079356,-47535.22954787362
23,0.863947,1.026228,-1.256283,-38.28286765847588,-0.11142891786639997,-47535.22954787362
24,-0.059934,1.306616,-1.532956,-38.446107774521806,-0.15504267108575975,-47535.22954787362
25,-0.187212,-1.560819,0.400971,-36.657175603555515,0.3229161059635419,-47535.22954787362
26,0.659045,-1.705838,-0.148662,-36.55738208503317,0.3495784852557786,-47535.22954787362
27,-0.551489,-1.573442,-1.1519,-37.62532978265517,0.06424906707425038,-47535.22954787362
28,0.7665,-1.376228,-1.152166,-37.722982468294504,0.038158665793947,-47535.22954787362
29,-0.742035,-0.610605,-1.400588,-39.5614545978533,-0.4530359725184213,-47535.22954787362
