point_index,x,y,z,cp_effect,cp_effect_normalized,cp_baseline,dm_effect,dm_effect_normalized,dm_baseline,ea_effect,ea_effect_normalized,ea_baseline,efl_effect,efl_effect_normalized,efl_baseline,eng_effect,eng_effect_normalized,eng_baseline,gap_effect,gap_effect_normalized,gap_baseline,gse_effect,gse_effect_normalized,gse_baseline,hard_effect,hard_effect_normalized,hard_baseline,homo_effect,homo_effect_normalized,homo_baseline,ie_effect,ie_effect_normalized,ie_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline,nfl_effect,nfl_effect_normalized,nfl_baseline,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s1_osc_effect,s1_osc_effect_normalized,s1_osc_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline,s2_osc_effect,s2_osc_effect_normalized,s2_osc_baseline
0,0.551577,-1.364338,-0.379327,-0.026431985439906214,0.9343282991917041,-0.18186967672385634,0.18552716638591615,0.9166159177324575,2.017182081521325,0.02337345855873707,-0.9071061755024346,-0.07704637704870265,0.018937477987436294,-0.924639896432363,0.06387510320371183,0.026431985439906214,-0.9343282991917041,0.18186967672385634,0.14416845150071822,0.589893139468417,7.771512020326048,-3.805181494411954,-0.8608200167764332,-47955.214977030264,0.0030585268811691435,0.591112663358369,0.258916053772559,-0.784983911393093,0.4319183676525091,-8.165764859541309,0.029490512321075357,-0.2500267478335174,0.44078573049641534,-0.6408154598923737,0.9141423999907745,-0.39425283921526094,-3.5800921447980727,0.919390276537654,15.655552004523248,0.15343813584996457,0.6368612925091042,0.0,1.5425533336430042e-05,0.41795141646229594,0.0,0.17216548389586617,0.6365802733406991,0.0,0.00010075907745172436,-0.27735757098276237,0.0
1,0.004572,-0.127505,2.333703,-0.02835437497273574,0.34553708175363274,-0.18186967672385634,-0.12068629984907875,-0.6772794653807017,2.017182081521325,0.03112868127986701,0.8171565836287928,-0.07704637704870265,0.02239383255124179,0.22850817708466842,0.06387510320371183,0.02835437497273574,-0.34553708175363274,0.18186967672385634,-0.18875110452507915,-1.0,7.771512020326048,4.142847916744358,1.0,-47955.214977030264,-0.002774306307131269,-1.0,0.258916053772559,-0.710895907149732,1.0,-8.165764859541309,0.025580068665604472,-1.0,0.44078573049641534,-0.8996470116748095,-0.9450542448320992,-0.39425283921526094,-4.06389399562924,-0.2614379054251811,15.655552004523248,-0.22657775469060226,-1.0,0.0,-0.002432932137211798,-1.0,0.0,-0.045321804007686595,-0.3798759267604357,0.0,0.0017584552417524728,1.0,0.0
2,-0.076554,0.782439,1.925855,-0.03000699360331538,-0.1606284579783771,-0.18186967672385634,-0.1698398086908679,-0.9331321937731738,2.017182081521325,0.03195105676152821,1.0,-0.07704637704870265,0.023472399772030306,0.5883519633198138,0.06387510320371183,0.03000699360331538,0.16062845797837721,0.18186967672385634,-0.13562142301848024,-0.7462734927985482,7.771512020326048,3.6065309073383105,0.8744356148154644,-47955.214977030264,-0.0019440631582128276,-0.7735216582980011,0.258916053772559,-0.7716749651295309,0.5339668435892446,-8.165764859541309,0.028062930445102552,-0.523818756256748,0.44078573049641534,-0.9072963881480123,-1.0,-0.39425283921526094,-4.207027822408593,-0.6107884838962603,15.655552004523248,-0.1678995839211188,-0.7472526048550766,0.0,-0.0015371351903854108,-0.4812046602118155,0.0,0.00013425344820205964,-0.16743090581888442,0.0,0.0010105159191086074,0.42366642513294184,0.0
3,-0.873694,0.126057,1.920019,-0.02920785536164061,0.08413233070759185,-0.18186967672385634,-0.11944669889047277,-0.6708271226110717,2.017182081521325,0.030798171134861718,0.7436723840074242,-0.07704637704870265,0.022695569630033663,0.3291771115629669,0.06387510320371183,0.02920785536164061,-0.08413233070759185,0.18186967672385634,-0.11962791896807712,-0.6698947943846109,7.771512020326048,3.213688132498646,0.7824619115171907,-47955.214977030264,-0.001590315773221107,-0.6770244800452077,0.258916053772559,-0.7606543173250575,0.6184694247861604,-8.165764859541309,0.027617539588419504,-0.6092390457946055,0.44078573049641534,-0.8802822362931345,-0.8059563444044825,-0.39425283921526094,-4.104296049937879,-0.3600482853872937,15.655552004523248,-0.15227707057436657,-0.6799609783059078,0.0,-0.001696507732682307,-0.5735042963366632,0.0,0.009373201139513121,-0.12425143655533955,0.0,0.0013129372473547464,0.6567007902844222,0.0
4,0.892528,0.069025,1.914316,-0.029159402581584004,0.09897249232447192,-0.18186967672385634,-0.11545987198801178,-0.6500749817230963,2.017182081521325,0.030726118700087568,0.7276525565371825,-0.07704637704870265,0.022647894522335565,0.31327120330561264,0.06387510320371183,0.029159402581584004,-0.09897249232447192,0.18186967672385634,-0.11851790397434403,-0.6645937984193677,7.771512020326048,3.185872977031977,0.7759497315308566,-47955.214977030264,-0.0015667161185035638,-0.6705868350346686,0.258916053772559,-0.7599840418288402,0.6236088694493334,-8.165764859541309,0.02759268646308044,-0.6140055584666297,0.44078573049641534,-0.8785019458031844,-0.793168451727057,-0.39425283921526094,-4.097931182952223,-0.3445133834471801,15.655552004523248,-0.1511032120709821,-0.6749047593558543,0.0,-0.0017084207634490076,-0.5804036554675616,0.0,0.009968898720444486,-0.12146736349360066,0.0,0.001329458253282355,0.6694312486496823,0.0
5,-0.472504,-0.899782,1.909674,-0.0282629672745216,0.3735335148363177,-0.18186967672385634,-0.05989182960223949,-0.3608334689434183,2.017182081521325,0.030168826483574662,0.6037466096107615,-0.07704637704870265,0.0220275749945317,0.10631319154872787,0.06387510320371183,0.0282629672745216,-0.3735335148363177,0.18186967672385634,-0.13932462475807927,-0.7639585309204895,7.771512020326048,3.2899354795954423,0.8003132029963922,-47955.214977030264,-0.0019058592090530624,-0.763100172660399,0.258916053772559,-0.7270923889524159,0.8758108830880058,-8.165764859541309,0.026357108065468537,-0.8509737469398799,0.44078573049641534,-0.866417013710495,-0.7063619358872628,-0.39425283921526094,-4.014471411505447,-0.14081087587053542,15.655552004523248,-0.1713408273060173,-0.7620752431579926,0.0,-0.002187988025740273,-0.8581421113454485,0.0,-0.00842586689612368,-0.20743778383678646,0.0,0.001610006647641429,0.885611163448957,0.0
6,0.539999,-0.86846,1.896543,-0.02830791535922117,0.3597667745062161,-0.18186967672385634,-0.06071798677017548,-0.3651337634794152,2.017182081521325,0.030152753173368296,0.6001729391693842,-0.07704637704870265,0.02204392909617714,0.11176943177478127,0.06387510320371183,0.02830791535922117,-0.3597667745062162,0.18186967672385634,-0.13585798452789266,-0.7474032177247941,7.771512020326048,3.244661359145539,0.7897134700038504,-47955.214977030264,-0.0018448378141471267,-0.7464544173239744,0.258916053772559,-0.7297821651374576,0.8551865936169496,-8.165764859541309,0.026463077545074043,-0.8306501513962022,0.44078573049641534,-0.8656401496653525,-0.7007816926121833,-0.39425283921526094,-4.016687211778965,-0.14621903915903078,15.655552004523248,-0.16772521964832787,-0.7465015569751524,0.0,-0.002150014292844598,-0.8361498554771601,0.0,-0.005682581219530469,-0.194616667892491,0.0,0.0015916411679286091,0.8714594237869449,0.0
7,0.701984,0.848038,1.269188,-0.032343497699166335,-0.876255061042658,-0.18186967672385634,-0.16125375686409815,-0.8884402717159112,2.017182081521325,0.03179694519759835,0.9657354998056056,-0.07704637704870265,0.02455244471187662,0.9486887628882974,0.06387510320371183,0.032343497699166335,0.876255061042658,0.18186967672385634,-0.0015068662257240462,-0.10579500516315132,7.771512020326048,2.2441329797075014,0.5554663202389221,-47955.214977030264,0.0005465525015679873,-0.09411767263548287,0.258916053772559,-0.8916841233227775,-0.38622258760571093,-8.165764859541309,0.03289005020073432,0.40196128833317935,0.44078573049641534,-0.8931909895485016,-0.8986803982377582,-0.39425283921526094,-4.346858914641373,-0.952077989381705,15.655552004523248,-0.026232654666833888,-0.13704361439653057,0.0,-0.00040771517801128226,0.17289205351227244,0.0,0.08818739670273068,0.2440973460720941,0.0,0.00034700965375580504,-0.0876062493745775,0.0
8,-1.121831,-0.534839,1.210298,-0.03025569435905595,-0.23680075201637485,-0.18186967672385634,-0.025724058677215167,-0.18298416336496726,2.017182081521325,0.029114081453670337,0.3692391504648558,-0.07704637704870265,0.022638733578390094,0.3102148256489503,0.06387510320371183,0.03025569435905595,0.23680075201637485,0.18186967672385634,0.02860615081733453,0.03801294585353365,7.771512020326048,0.9015593608492054,0.24113836110218956,-47955.214977030264,0.0011416129053856139,0.06820621241518054,0.258916053772559,-0.8527895655725128,-0.08799233991775213,-8.165764859541309,0.031397307264441565,0.11567221905742886,0.44078573049641534,-0.8241834147551796,-0.4029964267915306,-0.39425283921526094,-4.096707347318805,-0.34152633491987994,15.655552004523248,0.0064180002641327505,0.003594170922253559,0.0,-0.0007719043527394335,-0.038025886451289126,0.0,0.12610353254819096,0.4213035255021582,0.0,0.0009106516089170236,0.34671478861395455,0.0
9,-0.747988,0.82157,1.177936,-0.0327475220262059,-1.0,-0.18186967672385634,-0.15471619255826385,-0.8544110904000315,2.017182081521325,0.031673492991700414,0.9382876689931603,-0.07704637704870265,0.02470624094380773,1.0,0.06387510320371183,0.0327475220262059,1.0,0.18186967672385634,0.025576508309137047,0.023544562270648495,7.771512020326048,1.9816782031703042,0.494019504127059,-47955.214977030264,0.001074029034505486,0.04977030839998586,0.258916053772559,-0.914987627250385,-0.5649059343338383,-8.165764859541309,0.033821551060711386,0.5806112807389006,0.44078573049641534,-0.8894111189412468,-0.8715294473491284,-0.39425283921526094,-4.36649323383093,-1.0,15.655552004523248,0.0019353552556884424,-0.015714148242884973,0.0,-0.00024596686515017743,0.2665676026735331,0.0,0.10685337621700608,0.3313353211792178,0.0,0.0002865775130113824,-0.13417295693714582,0.0
